state(speed_set_point=1.5, current_speed=0.62, steering_angle_set_point=0.0, current_steering_angle=0.04026381148034519, steer_adc_set_point=2.58296, steer_adc_avg=2.5834955086926885, steer_dac_value=0.05, speed_dac_value=1.4716000000000002)
state(speed_set_point=1.5, current_speed=1.15, steering_angle_set_point=10, current_steering_angle=10.259873934844741, steer_adc_set_point=2.71596, steer_adc_avg=2.719416323333435, steer_dac_value=0.07836037631356856, speed_dac_value=1.6)
state(speed_set_point=1.5, current_speed=1.15, steering_angle_set_point=10, current_steering_angle=10.269272717913392, steer_adc_set_point=2.71596, steer_adc_avg=2.719541327148248, steer_dac_value=0.09022854587439788, speed_dac_value=1.6)
state(speed_set_point=1.5, current_speed=1.15, steering_angle_set_point=10, current_steering_angle=10.241076368707372, steer_adc_set_point=2.71596, steer_adc_avg=2.719166315703808, steer_dac_value=0.09547151325012618, speed_dac_value=1.6)
state(speed_set_point=1.5, current_speed=1.15, steering_angle_set_point=10, current_steering_angle=10.206614164122138, steer_adc_set_point=2.71596, steer_adc_avg=2.7187079683828244, steer_dac_value=0.10014779666534998, speed_dac_value=1.6)
state(speed_set_point=1.5, current_speed=1.15, steering_angle_set_point=10, current_steering_angle=10.241076368707372, steer_adc_set_point=2.71596, steer_adc_avg=2.719166315703808, steer_dac_value=0.11815782032736903, speed_dac_value=1.6)
state(speed_set_point=1.5, current_speed=1.15, steering_angle_set_point=10, current_steering_angle=10.266139790223887, steer_adc_set_point=2.71596, steer_adc_avg=2.7194996592099776, steer_dac_value=0.1340927806634772, speed_dac_value=1.6)
state(speed_set_point=1.5, current_speed=1.15, steering_angle_set_point=10, current_steering_angle=10.212880019501284, steer_adc_set_point=2.71596, steer_adc_avg=2.718791304259367, steer_dac_value=0.1352856244392312, speed_dac_value=1.6)
state(speed_set_point=1.5, current_speed=1.15, steering_angle_set_point=10, current_steering_angle=10.19721538105342, steer_adc_set_point=2.71596, steer_adc_avg=2.7185829645680104, steer_dac_value=0.1435120161951578, speed_dac_value=1.6)
state(speed_set_point=1.5, current_speed=1.15, steering_angle_set_point=10, current_steering_angle=10.194082453363881, steer_adc_set_point=2.71596, steer_adc_avg=2.7185412966297395, steer_dac_value=0.1540301445560143, speed_dac_value=1.6)
state(speed_set_point=1.5, current_speed=1.15, steering_angle_set_point=10, current_steering_angle=10.184683670295163, steer_adc_set_point=2.71596, steer_adc_avg=2.7184162928149256, steer_dac_value=0.05, speed_dac_value=1.6)
state(speed_set_point=1.5, current_speed=1.15, steering_angle_set_point=10, current_steering_angle=10.278671500982178, steer_adc_set_point=2.71596, steer_adc_avg=2.719666330963063, steer_dac_value=0.06941107797479988, speed_dac_value=1.6)
state(speed_set_point=1.5, current_speed=1.15, steering_angle_set_point=10, current_steering_angle=10.241076368707338, steer_adc_set_point=2.71596, steer_adc_avg=2.7191663157038075, steer_dac_value=0.07355401178014391, speed_dac_value=1.6)
state(speed_set_point=1.5, current_speed=1.15, steering_angle_set_point=10, current_steering_angle=10.175284887226479, steer_adc_set_point=2.71596, steer_adc_avg=2.718291289000112, steer_dac_value=0.07165509453617433, speed_dac_value=1.6)
state(speed_set_point=1.5, current_speed=1.15, steering_angle_set_point=10, current_steering_angle=10.184683670295163, steer_adc_set_point=2.71596, steer_adc_avg=2.7184162928149256, steer_dac_value=0.08401494576861124, speed_dac_value=1.6)
state(speed_set_point=1.5, current_speed=1.15, steering_angle_set_point=10, current_steering_angle=10.338197127083925, steer_adc_set_point=2.71596, steer_adc_avg=2.720458021790216, steer_dac_value=0.07788096479181919, speed_dac_value=1.6)
state(speed_set_point=1.5, current_speed=1.15, steering_angle_set_point=10, current_steering_angle=10.231677585638653, steer_adc_set_point=2.71596, steer_adc_avg=2.719041311888994, steer_dac_value=0.06740678585162012, speed_dac_value=1.6)
state(speed_set_point=1.5, current_speed=1.15, steering_angle_set_point=10, current_steering_angle=10.284937356361256, steer_adc_set_point=2.71596, steer_adc_avg=2.7197496668396046, steer_dac_value=0.0912919888098771, speed_dac_value=1.6)
