state(speed_set_point=1.5, current_speed=0.63, steering_angle_set_point=0.0, current_steering_angle=-0.2041045483057916, steer_adc_set_point=2.58296, steer_adc_avg=2.580245409507533, steer_dac_value=0.05, speed_dac_value=1.505799999999999)
state(speed_set_point=1.5, current_speed=1.44, steering_angle_set_point=10, current_steering_angle=10.360127620910868, steer_adc_set_point=2.71596, steer_adc_avg=2.7207496973581144, steer_dac_value=0.2109456403495422, speed_dac_value=1.234999999999998)
state(speed_set_point=1.5, current_speed=1.5, steering_angle_set_point=10, current_steering_angle=10.178417814916017, steer_adc_set_point=2.71596, steer_adc_avg=2.718332956938383, steer_dac_value=0.05, speed_dac_value=1.174999999999998)
state(speed_set_point=1.5, current_speed=1.45, steering_angle_set_point=10, current_steering_angle=10.181550742605591, steer_adc_set_point=2.71596, steer_adc_avg=2.7183746248766543, steer_dac_value=0.05, speed_dac_value=1.2218999999999984)
state(speed_set_point=1.5, current_speed=1.47, steering_angle_set_point=10, current_steering_angle=9.99357508123163, steer_adc_set_point=2.71596, steer_adc_avg=2.7158745485803806, steer_dac_value=0.05, speed_dac_value=1.205999999999998)
state(speed_set_point=1.5, current_speed=1.49, steering_angle_set_point=10, current_steering_angle=9.971644587404652, steer_adc_set_point=2.71596, steer_adc_avg=2.715582873012482, steer_dac_value=0.05, speed_dac_value=1.1883999999999977)
state(speed_set_point=1.5, current_speed=1.46, steering_angle_set_point=10, current_steering_angle=10.009239719679458, steer_adc_set_point=2.71596, steer_adc_avg=2.7160828882717367, steer_dac_value=0.05, speed_dac_value=1.2202999999999975)
state(speed_set_point=1.5, current_speed=1.46, steering_angle_set_point=10, current_steering_angle=9.990442153542055, steer_adc_set_point=2.71596, steer_adc_avg=2.7158328806421093, steer_dac_value=0.05, speed_dac_value=1.223899999999997)
state(speed_set_point=1.5, current_speed=1.46, steering_angle_set_point=10, current_steering_angle=10.04056899657512, steer_adc_set_point=2.71596, steer_adc_avg=2.716499567654449, steer_dac_value=0.05, speed_dac_value=1.2266999999999968)
state(speed_set_point=1.5, current_speed=1.45, steering_angle_set_point=10, current_steering_angle=10.140822682641245, steer_adc_set_point=2.71596, steer_adc_avg=2.7178329416791285, steer_dac_value=0.05, speed_dac_value=1.2406999999999964)
state(speed_set_point=1.5, current_speed=1.47, steering_angle_set_point=10, current_steering_angle=10.165886104157726, steer_adc_set_point=2.71596, steer_adc_avg=2.7181662851852977, steer_dac_value=0.05, speed_dac_value=1.224199999999996)
state(speed_set_point=1.5, current_speed=1.43, steering_angle_set_point=10, current_steering_angle=10.087562911918642, steer_adc_set_point=2.71596, steer_adc_avg=2.717124586728518, steer_dac_value=0.05, speed_dac_value=1.2691999999999954)
state(speed_set_point=1.5, current_speed=1.55, steering_angle_set_point=10, current_steering_angle=10.068765345781207, steer_adc_set_point=2.71596, steer_adc_avg=2.71687457909889, steer_dac_value=0.05, speed_dac_value=1.1494999999999953)
state(speed_set_point=1.5, current_speed=1.48, steering_angle_set_point=10, current_steering_angle=10.05310070733341, steer_adc_set_point=2.71596, steer_adc_avg=2.7166662394075343, steer_dac_value=0.05, speed_dac_value=1.2179999999999955)
state(speed_set_point=1.5, current_speed=1.47, steering_angle_set_point=10, current_steering_angle=9.987309225852517, steer_adc_set_point=2.71596, steer_adc_avg=2.7157912127038384, steer_dac_value=0.05, speed_dac_value=1.2301999999999953)
state(speed_set_point=1.5, current_speed=1.47, steering_angle_set_point=10, current_steering_angle=10.2912032117404, steer_adc_set_point=2.71596, steer_adc_avg=2.7198330027161473, steer_dac_value=0.06279222241889695, speed_dac_value=1.233199999999995)
state(speed_set_point=1.5, current_speed=1.47, steering_angle_set_point=10, current_steering_angle=10.24420929639691, steer_adc_set_point=2.71596, steer_adc_avg=2.719207983642079, steer_dac_value=0.058364125614185004, speed_dac_value=1.2352999999999947)
state(speed_set_point=1.5, current_speed=1.52, steering_angle_set_point=10, current_steering_angle=10.140822682641245, steer_adc_set_point=2.71596, steer_adc_avg=2.7178329416791285, steer_dac_value=0.05, speed_dac_value=1.1844999999999948)
state(speed_set_point=1.5, current_speed=1.46, steering_angle_set_point=10, current_steering_angle=10.178417814916017, steer_adc_set_point=2.71596, steer_adc_avg=2.718332956938383, steer_dac_value=0.05, speed_dac_value=1.2472999999999945)
state(speed_set_point=1.5, current_speed=1.52, steering_angle_set_point=10, current_steering_angle=10.197215381053454, steer_adc_set_point=2.71596, steer_adc_avg=2.718582964568011, steer_dac_value=0.05, speed_dac_value=1.1858999999999946)
state(speed_set_point=1.5, current_speed=1.45, steering_angle_set_point=10, current_steering_angle=10.228544657949081, steer_adc_set_point=2.71596, steer_adc_avg=2.7189996439507227, steer_dac_value=0.05, speed_dac_value=1.2596999999999943)
state(speed_set_point=1.5, current_speed=1.52, steering_angle_set_point=10, current_steering_angle=10.181550742605591, steer_adc_set_point=2.71596, steer_adc_avg=2.7183746248766543, steer_dac_value=0.05, speed_dac_value=1.1883999999999943)
state(speed_set_point=1.5, current_speed=1.47, steering_angle_set_point=10, current_steering_angle=10.153354393399535, steer_adc_set_point=2.71596, steer_adc_avg=2.7179996134322137, steer_dac_value=0.05, speed_dac_value=1.2386999999999944)
state(speed_set_point=1.5, current_speed=1.47, steering_angle_set_point=10, current_steering_angle=10.219145874880429, steer_adc_set_point=2.71596, steer_adc_avg=2.7188746401359096, steer_dac_value=0.05, speed_dac_value=1.241099999999994)
state(speed_set_point=1.5, current_speed=1.48, steering_angle_set_point=10, current_steering_angle=10.284937356361256, steer_adc_set_point=2.71596, steer_adc_avg=2.7197496668396046, steer_dac_value=0.06284886509801231, speed_dac_value=1.232499999999994)
state(speed_set_point=1.5, current_speed=1.46, steering_angle_set_point=10, current_steering_angle=10.219145874880363, steer_adc_set_point=2.71596, steer_adc_avg=2.7188746401359087, steer_dac_value=0.05, speed_dac_value=1.251299999999994)
state(speed_set_point=1.5, current_speed=1.46, steering_angle_set_point=10, current_steering_angle=10.159620248778614, steer_adc_set_point=2.71596, steer_adc_avg=2.7180829493087555, steer_dac_value=0.05, speed_dac_value=1.2552999999999936)
state(speed_set_point=1.5, current_speed=1.48, steering_angle_set_point=10, current_steering_angle=10.153354393399535, steer_adc_set_point=2.71596, steer_adc_avg=2.7179996134322137, steer_dac_value=0.05, speed_dac_value=1.2386999999999933)
state(speed_set_point=1.5, current_speed=1.46, steering_angle_set_point=10, current_steering_angle=10.147088538020391, steer_adc_set_point=2.71596, steer_adc_avg=2.717916277555671, steer_dac_value=0.05, speed_dac_value=1.260699999999993)
state(speed_set_point=1.5, current_speed=1.5, steering_angle_set_point=10, current_steering_angle=10.203481236432566, steer_adc_set_point=2.71596, steer_adc_avg=2.718666300444553, steer_dac_value=0.05, speed_dac_value=1.2238999999999927)
state(speed_set_point=1.5, current_speed=1.46, steering_angle_set_point=10, current_steering_angle=10.150221465709897, steer_adc_set_point=2.71596, steer_adc_avg=2.7179579454939415, steer_dac_value=0.05, speed_dac_value=1.2646999999999926)
state(speed_set_point=1.5, current_speed=1.5, steering_angle_set_point=10, current_steering_angle=10.194082453363848, steer_adc_set_point=2.71596, steer_adc_avg=2.718541296629739, steer_dac_value=0.05, speed_dac_value=1.2274999999999923)
state(speed_set_point=1.5, current_speed=1.48, steering_angle_set_point=10, current_steering_angle=10.259873934844741, steer_adc_set_point=2.71596, steer_adc_avg=2.719416323333435, steer_dac_value=0.05906457008575696, speed_dac_value=1.2482999999999922)
state(speed_set_point=1.5, current_speed=1.51, steering_angle_set_point=10, current_steering_angle=10.103227550366439, steer_adc_set_point=2.71596, steer_adc_avg=2.7173329264198736, steer_dac_value=0.05, speed_dac_value=1.218999999999992)
state(speed_set_point=1.5, current_speed=1.51, steering_angle_set_point=10, current_steering_angle=10.162753176468188, steer_adc_set_point=2.71596, steer_adc_avg=2.718124617247027, steer_dac_value=0.05, speed_dac_value=1.2179999999999922)
state(speed_set_point=1.5, current_speed=1.47, steering_angle_set_point=10, current_steering_angle=10.140822682641245, steer_adc_set_point=2.71596, steer_adc_avg=2.7178329416791285, steer_dac_value=0.05, speed_dac_value=1.259499999999992)
state(speed_set_point=1.5, current_speed=1.46, steering_angle_set_point=10, current_steering_angle=10.169019031847332, steer_adc_set_point=2.71596, steer_adc_avg=2.7182079531235694, steer_dac_value=0.05, speed_dac_value=1.2728999999999917)
state(speed_set_point=1.5, current_speed=1.53, steering_angle_set_point=10, current_steering_angle=10.143955610330819, steer_adc_set_point=2.71596, steer_adc_avg=2.7178746096174, steer_dac_value=0.05, speed_dac_value=1.2019999999999917)
state(speed_set_point=1.5, current_speed=1.43, steering_angle_set_point=10, current_steering_angle=10.172151959536906, steer_adc_set_point=2.71596, steer_adc_avg=2.7182496210618408, steer_dac_value=0.05, speed_dac_value=1.3062999999999914)
state(speed_set_point=1.5, current_speed=1.49, steering_angle_set_point=10, current_steering_angle=10.200348308742994, steer_adc_set_point=2.71596, steer_adc_avg=2.7186246325062817, steer_dac_value=0.05, speed_dac_value=1.248299999999991)
state(speed_set_point=1.5, current_speed=1.5, steering_angle_set_point=10, current_steering_angle=10.187816597984735, steer_adc_set_point=2.71596, steer_adc_avg=2.718457960753197, steer_dac_value=0.05, speed_dac_value=1.238499999999991)
state(speed_set_point=1.5, current_speed=1.49, steering_angle_set_point=10, current_steering_angle=10.212880019501284, steer_adc_set_point=2.71596, steer_adc_avg=2.718791304259367, steer_dac_value=0.05, speed_dac_value=1.249299999999991)
state(speed_set_point=1.5, current_speed=1.5, steering_angle_set_point=10, current_steering_angle=10.194082453363848, steer_adc_set_point=2.71596, steer_adc_avg=2.718541296629739, steer_dac_value=0.05, speed_dac_value=1.239399999999991)
state(speed_set_point=1.5, current_speed=1.5, steering_angle_set_point=10, current_steering_angle=10.20974709181171, steer_adc_set_point=2.71596, steer_adc_avg=2.7187496363210957, steer_dac_value=0.05, speed_dac_value=1.239399999999991)
state(speed_set_point=1.5, current_speed=1.5, steering_angle_set_point=10, current_steering_angle=10.13142389957256, steer_adc_set_point=2.71596, steer_adc_avg=2.717707937864315, steer_dac_value=0.05, speed_dac_value=1.239399999999991)
state(speed_set_point=1.5, current_speed=1.5, steering_angle_set_point=10, current_steering_angle=10.037436068885546, steer_adc_set_point=2.71596, steer_adc_avg=2.7164578997161777, steer_dac_value=0.05, speed_dac_value=1.239399999999991)
state(speed_set_point=1.5, current_speed=1.5, steering_angle_set_point=10, current_steering_angle=10.197215381053454, steer_adc_set_point=2.71596, steer_adc_avg=2.718582964568011, steer_dac_value=0.05, speed_dac_value=1.239399999999991)
state(speed_set_point=1.5, current_speed=1.51, steering_angle_set_point=10, current_steering_angle=10.234810513328226, steer_adc_set_point=2.71596, steer_adc_avg=2.7190829798272653, steer_dac_value=0.05, speed_dac_value=1.228599999999991)
state(speed_set_point=1.5, current_speed=1.48, steering_angle_set_point=10, current_steering_angle=10.053100707333376, steer_adc_set_point=2.71596, steer_adc_avg=2.716666239407534, steer_dac_value=0.05, speed_dac_value=1.258999999999991)
state(speed_set_point=1.5, current_speed=1.51, steering_angle_set_point=10, current_steering_angle=10.056233635022982, steer_adc_set_point=2.71596, steer_adc_avg=2.7167079073458056, steer_dac_value=0.05, speed_dac_value=1.2303999999999908)
state(speed_set_point=1.5, current_speed=1.46, steering_angle_set_point=10, current_steering_angle=10.169019031847332, steer_adc_set_point=2.71596, steer_adc_avg=2.7182079531235694, steer_dac_value=0.05, speed_dac_value=1.2804999999999909)
state(speed_set_point=1.5, current_speed=1.5, steering_angle_set_point=-10, current_steering_angle=10.081297056539498, steer_adc_set_point=2.44996, steer_adc_avg=2.7170412508519752, steer_dac_value=3.5, speed_dac_value=1.2436999999999905)
state(speed_set_point=1.5, current_speed=1.5, steering_angle_set_point=-10, current_steering_angle=8.289262418107716, steer_adc_set_point=2.44996, steer_adc_avg=2.6932071901608325, steer_dac_value=3.5, speed_dac_value=1.2436999999999905)
state(speed_set_point=1.5, current_speed=1.47, steering_angle_set_point=-10, current_steering_angle=5.265987197676533, steer_adc_set_point=2.44996, steer_adc_avg=2.652997629729098, steer_dac_value=3.5, speed_dac_value=1.2745999999999904)
state(speed_set_point=1.5, current_speed=1.53, steering_angle_set_point=-10, current_steering_angle=2.1518570742478746, steer_adc_set_point=2.44996, steer_adc_avg=2.6115796990874967, steer_dac_value=3.5, speed_dac_value=1.2148999999999903)
state(speed_set_point=1.5, current_speed=1.52, steering_angle_set_point=-10, current_steering_angle=-0.7273034724632982, steer_adc_set_point=2.44996, steer_adc_avg=2.573286863816238, steer_dac_value=3.5, speed_dac_value=1.2229999999999905)
state(speed_set_point=1.5, current_speed=1.52, steering_angle_set_point=-10, current_steering_angle=-4.195454424812871, steer_adc_set_point=2.44996, steer_adc_avg=2.5271604561499887, steer_dac_value=3.2210696638284557, speed_dac_value=1.2209999999999908)
state(speed_set_point=1.5, current_speed=1.5, steering_angle_set_point=-10, current_steering_angle=-6.830246611737907, steer_adc_set_point=2.44996, steer_adc_avg=2.4921177200638858, steer_dac_value=2.798813357910915, speed_dac_value=1.2401999999999909)
state(speed_set_point=1.5, current_speed=1.52, steering_angle_set_point=-10, current_steering_angle=-9.236335077324636, steer_adc_set_point=2.44996, steer_adc_avg=2.4601167434715823, steer_dac_value=2.365546336008794, speed_dac_value=1.218999999999991)
state(speed_set_point=1.5, current_speed=1.49, steering_angle_set_point=-10, current_steering_angle=-10.65241839300846, steer_adc_set_point=2.44996, steer_adc_avg=2.4412828353729874, steer_dac_value=0.13934298287910946, speed_dac_value=1.248999999999991)
state(speed_set_point=1.5, current_speed=1.51, steering_angle_set_point=-10, current_steering_angle=-10.646152537629316, steer_adc_set_point=2.44996, steer_adc_avg=2.44136617124953, steer_dac_value=0.15526188836328264, speed_dac_value=1.228699999999991)
state(speed_set_point=1.5, current_speed=1.48, steering_angle_set_point=-10, current_steering_angle=-10.517702502357169, steer_adc_set_point=2.44996, steer_adc_avg=2.4430745567186496, steer_dac_value=0.1454550087588145, speed_dac_value=1.2601999999999909)
state(speed_set_point=1.5, current_speed=1.47, steering_angle_set_point=-10, current_steering_angle=-10.429980527049299, steer_adc_set_point=2.44996, steer_adc_avg=2.4442412589902442, steer_dac_value=0.14074828479872856, speed_dac_value=1.2726999999999906)
state(speed_set_point=1.5, current_speed=1.45, steering_angle_set_point=-10, current_steering_angle=-10.470708587013645, steer_adc_set_point=2.44996, steer_adc_avg=2.4436995757927185, steer_dac_value=0.15651309231848665, speed_dac_value=1.2957999999999903)
state(speed_set_point=1.5, current_speed=1.48, steering_angle_set_point=-10, current_steering_angle=-10.517702502357135, steer_adc_set_point=2.44996, steer_adc_avg=2.44307455671865, steer_dac_value=0.17527170449944088, speed_dac_value=1.26769999999999)
state(speed_set_point=1.5, current_speed=1.46, steering_angle_set_point=-10, current_steering_angle=-10.288998781018828, steer_adc_set_point=2.44996, steer_adc_avg=2.4461163162124495, steer_dac_value=0.14137446967985837, speed_dac_value=1.2914999999999897)
state(speed_set_point=1.5, current_speed=1.44, steering_angle_set_point=-10, current_steering_angle=-10.257669504123168, steer_adc_set_point=2.44996, steer_adc_avg=2.446532995595162, steer_dac_value=0.14378667626982156, speed_dac_value=1.317499999999989)
state(speed_set_point=1.5, current_speed=1.5, steering_angle_set_point=-10, current_steering_angle=-10.182479239573556, steer_adc_set_point=2.44996, steer_adc_avg=2.4475330261136716, steer_dac_value=0.13619857767468446, speed_dac_value=1.2601999999999887)
state(speed_set_point=1.5, current_speed=1.47, steering_angle_set_point=-10, current_steering_angle=-10.386119539395382, steer_adc_set_point=2.44996, steer_adc_avg=2.4448246101260414, steer_dac_value=0.18400383621733019, speed_dac_value=1.2910999999999886)
state(speed_set_point=1.5, current_speed=1.52, steering_angle_set_point=-10, current_steering_angle=-10.232606082606619, steer_adc_set_point=2.44996, steer_adc_avg=2.446866339101332, steer_dac_value=0.05, speed_dac_value=1.2425999999999884)
state(speed_set_point=1.5, current_speed=1.5, steering_angle_set_point=-10, current_steering_angle=-10.235739010296225, steer_adc_set_point=2.44996, steer_adc_avg=2.44682467116306, steer_dac_value=0.05, speed_dac_value=1.2611999999999886)
state(speed_set_point=1.5, current_speed=1.47, steering_angle_set_point=-10, current_steering_angle=-10.016434072026604, steer_adc_set_point=2.44996, steer_adc_avg=2.449741426842046, steer_dac_value=0.05, speed_dac_value=1.2920999999999885)
state(speed_set_point=1.5, current_speed=1.5, steering_angle_set_point=-10, current_steering_angle=-10.003902361268313, steer_adc_set_point=2.44996, steer_adc_avg=2.4499080985951314, steer_dac_value=0.05, speed_dac_value=1.2635999999999883)
state(speed_set_point=1.5, current_speed=1.48, steering_angle_set_point=-10, current_steering_angle=-10.119820685782235, steer_adc_set_point=2.44996, steer_adc_avg=2.448366384879096, steer_dac_value=0.05, speed_dac_value=1.2847999999999882)
state(speed_set_point=1.5, current_speed=1.49, steering_angle_set_point=-10, current_steering_angle=-10.069693842749206, steer_adc_set_point=2.44996, steer_adc_avg=2.4490330718914355, steer_dac_value=0.05, speed_dac_value=1.276099999999988)
state(speed_set_point=1.5, current_speed=1.49, steering_angle_set_point=-10, current_steering_angle=-10.104156047334406, steer_adc_set_point=2.44996, steer_adc_avg=2.4485747245704523, steer_dac_value=0.05, speed_dac_value=1.277099999999988)
state(speed_set_point=1.5, current_speed=1.46, steering_angle_set_point=-10, current_steering_angle=-10.047763348922231, steer_adc_set_point=2.44996, steer_adc_avg=2.4493247474593343, steer_dac_value=0.05, speed_dac_value=1.3101999999999876)
state(speed_set_point=1.5, current_speed=1.53, steering_angle_set_point=-10, current_steering_angle=-10.079092625817925, steer_adc_set_point=2.44996, steer_adc_avg=2.4489080680766215, steer_dac_value=0.05, speed_dac_value=1.2392999999999876)
state(speed_set_point=1.5, current_speed=1.45, steering_angle_set_point=-10, current_steering_angle=-10.094757264265722, steer_adc_set_point=2.44996, steer_adc_avg=2.448699728385266, steer_dac_value=0.05, speed_dac_value=1.3226999999999873)
state(speed_set_point=1.5, current_speed=1.51, steering_angle_set_point=-10, current_steering_angle=-10.01956699971611, steer_adc_set_point=2.44996, steer_adc_avg=2.4496997589037757, steer_dac_value=0.05, speed_dac_value=1.2629999999999872)
state(speed_set_point=1.5, current_speed=1.52, steering_angle_set_point=-10, current_steering_angle=-10.054029204301376, steer_adc_set_point=2.44996, steer_adc_avg=2.4492414115827916, steer_dac_value=0.05, speed_dac_value=1.2513999999999874)
state(speed_set_point=1.5, current_speed=1.49, steering_angle_set_point=-10, current_steering_angle=-10.13235239654056, steer_adc_set_point=2.44996, steer_adc_avg=2.4481997131260105, steer_dac_value=0.05, speed_dac_value=1.2817999999999874)
state(speed_set_point=1.5, current_speed=1.51, steering_angle_set_point=-10, current_steering_angle=-10.094757264265722, steer_adc_set_point=2.44996, steer_adc_avg=2.448699728385266, steer_dac_value=0.05, speed_dac_value=1.2610999999999875)
state(speed_set_point=1.5, current_speed=1.57, steering_angle_set_point=-10, current_steering_angle=-10.107288975024012, steer_adc_set_point=2.44996, steer_adc_avg=2.4485330566321806, steer_dac_value=0.05, speed_dac_value=1.195399999999988)
state(speed_set_point=1.5, current_speed=1.5, steering_angle_set_point=-10, current_steering_angle=-10.154282890367469, steer_adc_set_point=2.44996, steer_adc_avg=2.4479080375581126, steer_dac_value=0.05, speed_dac_value=1.265399999999988)
state(speed_set_point=1.5, current_speed=1.57, steering_angle_set_point=-10, current_steering_angle=-10.21380851646925, steer_adc_set_point=2.44996, steer_adc_avg=2.447116346730959, steer_dac_value=0.05, speed_dac_value=1.1938999999999882)
state(speed_set_point=1.5, current_speed=1.52, steering_angle_set_point=10, current_steering_angle=-10.24827072105445, steer_adc_set_point=2.71596, steer_adc_avg=2.4466579994099757, steer_dac_value=3.5, speed_dac_value=1.2385999999999888)
state(speed_set_point=1.5, current_speed=1.56, steering_angle_set_point=10, current_steering_angle=-9.703141303069968, steer_adc_set_point=2.71596, steer_adc_avg=2.4539082206691694, steer_dac_value=3.5, speed_dac_value=1.195999999999989)
state(speed_set_point=1.5, current_speed=1.51, steering_angle_set_point=10, current_steering_angle=-7.131007669936285, steer_adc_set_point=2.71596, steer_adc_avg=2.4881175979898473, steer_dac_value=3.5, speed_dac_value=1.2416999999999896)
state(speed_set_point=1.5, current_speed=1.51, steering_angle_set_point=10, current_steering_angle=-2.5130722555159672, steer_adc_set_point=2.71596, steer_adc_avg=2.5495361390016376, steer_dac_value=3.5, speed_dac_value=1.2407999999999897)
state(speed_set_point=1.5, current_speed=1.53, steering_angle_set_point=10, current_steering_angle=0.6010578679126909, steer_adc_set_point=2.71596, steer_adc_avg=2.5909540696432387, steer_dac_value=3.5, speed_dac_value=1.2193999999999898)
state(speed_set_point=1.5, current_speed=1.55, steering_angle_set_point=10, current_steering_angle=3.5209464745882086, steer_adc_set_point=2.71596, steer_adc_avg=2.629788588112023, steer_dac_value=3.322539239682201, speed_dac_value=1.1953999999999902)
state(speed_set_point=1.5, current_speed=1.65, steering_angle_set_point=10, current_steering_angle=6.669538802602067, steer_adc_set_point=2.71596, steer_adc_avg=2.6716648660746074, steer_dac_value=2.8063272940051474, speed_dac_value=1.08289999999999)
